"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7243576049805","97.99226","","94.72127","92.79219","93.10495","96.73629","","","","97.82105","","","","","","","","","","",
"Afghanistan","AFG","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","8.47241973876953","","","","","","","","","","","","","","","","","","","13.6976404190063","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","43.4832496643066","40.2031211853027","","","","","","","","","","","","","","","41.9692497253418","","","","","","","","","","76.49962","75.33412","74.64644","71.48141","","","","","","","","",
"Albania","ALB","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.9872512817383","95.3679","94.45652","","92.23154","91.97377","","","","87.34731","85.71818","86.81675","88.24009","90.952","97.16724","","","","","","",
"Andorra","AND","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.2838668823242","72.1940078735352","73.5522766113281","75.1748123168945","76.5146331787109","77.3290710449219","77.9477386474609","79.1094589233398","79.5834808349609","80.440788269043","82.2183685302734","82.2464828491211","83.55279","83.44254","84.11878","83.21839","83.34494","83.18996","83.82028","83.99478","84.25278","",
"United Arab Emirates","ARE","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","79.7893371582031","","76.638298034668","73.4320373535156","77.9716186523438","72.5261535644531","72.2291717529297","72.0427017211914","73.1582336425781","83.3039016723633","86.1469192504883","90.8208923339844","95.104621887207","95.8730316162109","91.9358520507813","90.1337509155273","88.5407485961914","88.8090896606445","86.1087417602539","82.4925765991211","83.4358215332031","","","","","","","","","94.2901","","","","","94.53711","","","","","","","",
"Argentina","ARG","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","96.1203689575195","","","","96.3286895751953","96.0937576293945","","","","","","","","","","","","","","","","96.0071411132813","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.72919","85.77811","","89.69792","93.35196","98.39569","","","","95.76167","96.88121","96.94188","94.47563","93.62911","92.76478","92.26242","90.65059","",
"American Samoa","ASM","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.04599","","93.81726","98.43915","","98.69226","","",
"Australia","AUS","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","96.6608276367188","","95.6178894042969","95.0301208496094","97.4905166625977","98.3589172363281","","","","","","99.0594100952148","97.8989562988281","96.1707382202148","96.4547271728516","97.2559661865234","97.9163208007813","98.6630706787109","98.7796478271484","98.2758712768555","97.6831207275391","97.4487228393555","97.0077209472656","96.7171096801758","95.270622253418","95.7971801757813","95.5586395263672","95.8566207885742","95.8061218261719","96.01008","","","96.58515","96.83268","","","","","","","98.10016","98.35632","","","","","96.87867","","",
