"Data Source","Education Statistics",

"Last Updated Date","2019-12-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100",
"Aruba","ABW","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","97.67442","96.84003","96.79487","96.36027","96.0347","96.39585","96.93627","96.50602","96.78593","95.67073","96.44128","96.6299","96.22642","96.15602","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","99.45223","99.15511","99.14875","99.149","98.91713","","","","","","86.18239","80.60465","79.67776","77.18278","","","","","98.58966","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","",
"Netherlands Antilles","ANT","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","97.94186","97.87248","97.68385","97.5399","97.76023","98.00011","98.29192","98.0927","98.13206","98.18541","98.07702","98.033","98.25669","98.69029","98.74889","98.52849","98.51661","98.68131","98.66513","98.48318","98.44421","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","","100","100","99.85398","99.72697","99.69947","99.56709","99.48106","99.48975","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","","",
